FCTLOG	SerialNumber	CUS	TestTime	Column1	Status	TEXT1	TEXT2	TEXT3	TEXT4	OPNAME	TestTime
FCTLOG	3ABD00045053W2252346SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252347SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252349SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252352SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252354SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252355SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256599SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256600SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256743SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256745SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256747SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256748SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256749SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256750SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256752SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256753SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256754SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256756SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256758SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256970SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2256971SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256992SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257012SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257016SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257041SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257059SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257061SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257062SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257063SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257064SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257065SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257067SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257068SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257069SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257070SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257082SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257084SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
