FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
FCTLOG,10CBD6S200W11-G-3222054628,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221622410,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222054536,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3220987573,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3215040143,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222257160,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222258110,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222044397,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221727867,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051378,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051487,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222055534,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3220985958,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222050927,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222040708,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222048165,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213053340,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3214530764,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3212524533,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213270882,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221400183,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213386875,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222050529,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222053575,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213273064,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213273862,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3220985779,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3225168018,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3225168136,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3225168142,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
