FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
FCTLOG,10MDPI1C0001106-D-0;3123;02360,LNK,,LNK908-222445LF,P,,,15/08/2023 15:45:40,,FCT1,,,52.2371569,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02359,LNK,,LNK908-222445LF,P,,,15/08/2023 15:46:43,,FCT1,,,51.2468597,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02357,LNK,,LNK908-222445LF,P,,,15/08/2023 15:47:47,,FCT1,,,51.2304676,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02358,LNK,,LNK908-222445LF,P,,,15/08/2023 15:48:55,,FCT1,,,51.1774937,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02356,LNK,,LNK908-222445LF,P,,,15/08/2023 15:50:02,,FCT1,,,51.0555776,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02355,LNK,,LNK908-222445LF,P,,,15/08/2023 15:51:10,,FCT1,,,51.2884068,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02353,LNK,,LNK908-222445LF,P,,,15/08/2023 15:52:16,,FCT1,,,51.2198604,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02354,LNK,,LNK908-222445LF,P,,,15/08/2023 15:53:20,,FCT1,,,51.2947319,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02351,LNK,,LNK908-222445LF,P,,,15/08/2023 15:54:28,,FCT1,,,51.3288206,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02352,LNK,,LNK908-222445LF,P,,,15/08/2023 15:55:40,,FCT1,,,51.5574697,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02349,LNK,,LNK908-222445LF,P,,,15/08/2023 15:56:48,,FCT1,,,51.1177967,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02347,LNK,,LNK908-222445LF,P,,,15/08/2023 15:57:55,,FCT1,,,51.0417559,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02350,LNK,,LNK908-222445LF,P,,,15/08/2023 15:59:00,,FCT1,,,51.2814968,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02348,LNK,,LNK908-222445LF,P,,,15/08/2023 16:00:10,,FCT1,,,51.3114591,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02346,LNK,,LNK908-222445LF,P,,,15/08/2023 16:01:18,,FCT1,,,51.2273146,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02345,LNK,,LNK908-222445LF,P,,,15/08/2023 16:02:34,,FCT1,,,51.7053194,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02407,LNK,,LNK908-222445LF,P,,,15/08/2023 16:03:36,,FCT1,,,51.179161,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02408,LNK,,LNK908-222445LF,P,,,15/08/2023 16:04:42,,FCT1,,,51.2227251,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02405,LNK,,LNK908-222445LF,P,,,15/08/2023 16:05:47,,FCT1,,,51.3544122,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02406,LNK,,LNK908-222445LF,P,,,15/08/2023 16:07:00,,FCT1,,,58.0639736,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02402,LNK,,LNK908-222445LF,P,,,15/08/2023 16:08:07,,FCT1,,,51.1016973,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02401,LNK,,LNK908-222445LF,P,,,15/08/2023 16:09:11,,FCT1,,,51.3667592,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02403,LNK,,LNK908-222445LF,P,,,15/08/2023 16:10:24,,FCT1,,,50.9262932,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02404,LNK,,LNK908-222445LF,P,,,15/08/2023 16:12:11,,FCT1,,,51.1843899,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02399,LNK,,LNK908-222445LF,P,,,15/08/2023 16:13:15,,FCT1,,,51.2040337,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02400,LNK,,LNK908-222445LF,P,,,15/08/2023 16:14:40,,FCT1,,,51.11887,,81010,,
